Date,Dayofweek,Attended,Arrival,Departure,TotalTime,TotalMinutes,DogInteractions,Weather,Temperature,Precipitation,Busyness,Averagedogsbydayofweek,Totaldogsbydaysofweek,TotalMinutesByDay,AverageBusyness
11/4/2023,Saturday,y,2:00:00 PM,3:21:00 PM,1:21:00,81,6,Mostly sunny,63,0,3,,,,
11/6/2023,Monday,y,5:12:00 PM,5:57:00 PM,0:45:00,45,8,Mostly cloudy,73,0,3,,,,
11/7/2023,Tuesday,y,5:12:00 PM,5:57:00 PM,0:45:00,45,15,Sunny,64,0,3,,,,
11/9/2023,Thursday,y,5:00:00 PM,5:56:00 PM,0:56:00,56,7,Partly cloudy,55,0,3,,,,
11/10/2023,Friday,y,5:06:00 PM,5:36:00 PM,0:30:00,30,8,Sunny,54,0,3,,,,
11/11/2023,Saturday,y,1:46:00 PM,2:38:00 PM,0:52:00,52,8,Sunny ,55,0,2,,,,
11/12/2023,Sunday,y,11:27:00 AM,12:11:00 PM,0:44:00,44,5,Sunny,51,0,3,,,,
11/13/2023,Monday,y,5:11:00 PM,6:17:00 PM,1:06:00,66,13,Sunny,60,0,3,,,,
11/14/2023,Tuesday,y,7:40:00 PM,8:02:00 PM,0:22:00,22,2,Clear,46,0,5,,,,
11/15/2023,Wednesday,y,5:17:00 PM,6:10:00 PM,0:53:00,53,12,Sunny,63,0,2,,,,
11/16/2023,Thursday,y,5:13:00 PM,5:55:00 PM,0:42:00,42,9,Sunny,64,0,2,,,,
11/17/2023,Friday,y,5:09:00 PM,5:55:00 PM,0:46:00,46,8,Cloudy,51,0,2,,,,
11/18/2023,Saturday,y,8:12:00 AM,9:00:00 AM,0:48:00,48,1,Sunny,30,0,2,,,,
11/19/2023,Sunday,y,5:35:00 PM,6:19:00 PM,0:44:00,44,13,Sunny,58,0,3,,,,
11/20/2023,Monday,y,4:41:00 PM,5:36:00 PM,0:55:00,55,8,Cloudy,49,0,3,,,,
11/21/2023,Tuesday,y,4:41:00 PM,5:27:00 PM,0:46:00,46,4,Cloudy,43,5,3,,,,
11/22/2023,Wednesday,y,11:05:00 AM,11:51:00 AM,0:46:00,46,3,Sunny,43,0,1,,,,
11/23/2023,Thursday,y,10:26:00 AM,11:19:00 AM,0:53:00,53,0,Sunny,42,0,1,,,,
11/24/2023,Friday,y,10:19:00 AM,11:07:00 AM,0:48:00,48,2,Partly cloudy,36,0,3,,,,
11/27/2023,Monday,y,4:57:00 PM,5:57:00 PM,1:00:00,60,4,Sunny,31,0,3,,,,
11/28/2023,Tuesday,y,4:53:00 PM,5:43:00 PM,0:50:00,50,3,Sunny,25,0,3,,,,
11/29/2023,Wednesday,y,4:41:00 PM,5:29:00 PM,0:48:00,48,4,Sunny,45,0,5,,,,
11/30/2023,Thursday,y,4:52:00 PM,5:40:00 PM,0:48:00,48,9,Cloudy,54,0,4,,,,
12/2/2023,Saturday,y,1:34:00 PM,2:15:00 PM,0:41:00,41,5,Cloudy,47,0,4,,,,
12/3/2023,Sunday,y,11:48:00 AM,12:34:00 PM,0:46:00,46,2,Cloudy,43,0,3,,,,
12/4/2023,Monday,y,4:49:00 PM,5:33:00 PM,0:44:00,44,8,Sunny,42,0,3,,,,
12/5/2023,Tuesday,y,4:47:00 PM,5:27:00 PM,0:40:00,40,1,Cloudy,42,10,3,,,,
12/7/2023,Thursday,y,4:47:00 PM,5:36:00 PM,0:49:00,49,3,Sunny,54,0,3,,,,
12/8/2023,Friday,y,4:50:00 PM,5:47:00 PM,0:57:00,57,5,Cloudy,57,0,3,,,,
12/9/2023,Saturday,y,8:47:00 AM,9:35:00 AM,0:48:00,48,4,Light rain,55,30,2,,,,
12/10/2023,Sunday,y,11:41:00 AM,12:26:00 PM,0:45:00,45,2,Cloudy,34,0,3,,,,
12/11/2023,Monday,y,4:52:00 PM,5:40:00 PM,0:48:00,48,9,Sunny,38,0,3,,,,
12/12/2023,Tuesday,y,4:53:00 PM,5:49:00 PM,0:56:00,56,8,Sunny,47,0,4,,,,
12/14/2023,Thursday,y,4:44:00 PM,5:30:00 PM,0:46:00,46,13,Sunny,51,0,3,,,,
12/15/2023,Friday,y,4:50:00 PM,5:30:00 PM,0:40:00,40,4,Cloudy,54,0,2,,,,
12/16/2023,Saturday,y,12:16:00 PM,1:05:00 PM,0:49:00,49,5,Cloudy,49,0,3,,,,
12/18/2023,Monday,y,4:56:00 PM,5:45:00 PM,0:49:00,49,8,Windy,31,10,2,,,,
12/19/2023,Tuesday,y,5:00:00 PM,5:47:00 PM,0:47:00,47,1,Cloudy,35,0,4,,,,
12/20/2023,Wednesday,y,1:08:00 PM,1:52:00 PM,0:44:00,44,2,Sunny,41,0,1,,,,
12/21/2023,Thursday,y,3:05:00 PM,4:06:00 PM,1:01:00,61,5,Cloudy,48,0,1,,,,
12/22/2023,Friday,y,9:07:00 AM,9:51:00 AM,0:44:00,44,4,Cloudy,41,0,1,,,,
12/24/2023,Sunday,y,2:48:00 PM,3:38:00 PM,0:50:00,50,9,Partly cloudy,59,0,2,,,,
12/27/2023,Wednesday,y,4:32:00 PM,5:55:00 PM,1:23:00,83,9,Mostly cloudy,47,0,3,,,,
12/29/2023,Friday,y,4:32:00 PM,5:40:00 PM,1:08:00,68,16,Cloudy,37,0,1,,,,
12/30/2023,Saturday,y,5:04:00 PM,5:47:00 PM,0:43:00,43,8,Sunny,36,0,1,,,,
12/31/2023,Sunday,y,9:03:00 AM,10:00:00 AM,0:57:00,57,9,Partly cloudy,35,0,3,,,,
